key,code,moment,start-date,end-date,amount,type,email,link,published,key:project,key:sponsor
sponsorship-37,AOC-621,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,IN_KIND,example@gmail.com,,false,project-01,sponsor-01
sponsorship-38,APC-741,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 50000.00,FINANCIAL,example@gmail.com,https://asad.com,false,project-01,sponsor-01
sponsorship-39,AAC-721,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,example@gmail.com,https://aadd.com,false,project-03,sponsor-01
sponsorship-40,ASC-821,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 60000.00,FINANCIAL,example@gmail.com,http://www.example3.com/b2131313456789d123456789e123456789f123456789g123456789h123456789i123456789j123456789k123456789l123456789m123456789n123456789o12345678kkk9p123456789q123456789r123456789s123456789t123456789u123456789v123456789w12345678,false,project-01,sponsor-01
sponsorship-41,ADC-823,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 70000.00,IN_KIND,example@gmail.com,http://www.example4.com/5345355354389e123456789f123456789g123456789h123456789i123456789j123456789k123456789l123456789m1kkk23456789n123456789o123456789p123456789q123456789r123456789s123456789t123456789u123456789v123456789w12345678,false,project-01,sponsor-01
sponsorship-42,AFC-721,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 80000.00,FINANCIAL,example@gmail.com,ftp://example5.com/offer?param1=value1&param2=value,false,project-01,sponsor-01
sponsorship-43,ADC-723,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 10000.00,FINANCIAL,example@gmail.com,https://example56.com/offer/subfolder/file.pdf,false,project-02,sponsor-01
sponsorship-44,AHC-921,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 10000.00,IN_KIND,example@gmail.com,https://sample1.com,true,project-01,sponsor-01
sponsorship-45,AJ-022,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 10000.00,FINANCIAL,example@gmail.com,https://sample12.com,false,project-03,sponsor-01
sponsorship-46,ZKC-023,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 10000.00,IN_KIND,example@gmail.com,https://sample3.com,false,project-02,sponsor-02
sponsorship-47,PLZ-992,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 10000.00,FINANCIAL,example@gmail.com,https://sample4.com,false,project-02,sponsor-02
